repo,status
1_kubernetes,pending
2_spring-framework,pending
3_node-v0.x-archive,pending
4_odoo,pending
5_elasticsearch-analysis-ik,pending
6_FreeCAD,pending
7_rapidjson,pending
8_Activiti,pending
9_mysql-server,pending
10_azure-content,pending
11_sonarqube,pending
12_QGIS,pending
13_jmeter,pending
14_lovefield,pending
15_GoJS,pending
16_gocd,pending
17_android-open-project-analysis,pending
18_google-api-python-client,pending
19_design_patterns,pending
20_h2o-3,pending
21_HP-Socket,pending
22_framework,pending
23_Gadgetbridge,pending
24_orange3,pending
25_dolibarr,pending
26_cgal,pending
27_phpDocumentor2,pending
28_maven,pending
29_netty-learning,pending
30_game-programming-patterns,pending
31_ogre,pending
32_RakNet,pending
33_optaplanner,pending
34_core-plot,pending
35_UVCCamera,pending
36_logback,pending
37_android_design_patterns_analysis,pending
38_textlint,pending
39_bitcoin-on-nodejs,pending
40_spring-batch,pending
41_h2o-2,pending
42_react-starter,pending
43_monodroid-samples,pending
44_incubator-geode,pending
45_gobblin,pending
46_grobid,pending
47_game-of-life,pending
48_MathBox.js,pending
49_node-convergence-archive,pending
50_yard,pending
51_AsciidocFX,pending
52_cookbook,pending
53_LibrePCB,pending
54_poi,pending
55_octomap,pending
56_chrome-devtools-app,pending
57_Fast-RTPS,pending
58_pjproject,pending
59_AndroidViewClient,pending
60_Dynamo,pending
61_unknown-horizons,pending
62_MVVM.CEF.Glue,pending
63_n2o,pending
64_activiti-in-action-codes,pending
65_gotalk,pending
66_ImagePlay,pending
67_OpenDDS,pending
68_mayavi,pending
69_anki-3d-engine,pending
70_openrouteservice,pending
71_openrouteservice-core,pending
72_sipsorcery,pending
73_sonar-java,pending
74_di,pending
75_usergrid,pending
76_Dnn.Platform,pending
77_owner,pending
78_elmerfem,pending
79_activemq-artemis,pending
80_DebugViewPP,pending
81_activejdbc,pending
82_spring-net,pending
83_lcm,pending
84_busmaster,pending
85_jenetics,pending
86_dataverse,pending
87_isis,pending
88_elabftw,pending
89_efficientR,pending
90_Seccubus_v2,pending
91_aces-dev,pending
92_wicket,pending
93_swift-clang,pending
94_swift-lldb,pending
95_waf,pending
96_diode,pending
97_platform,pending
98_gamehub.io,pending
99_jsoup-learning,pending
100_docs,pending
